Date,NYA,N225,IXIC,GSPTSE,HSI,GDAXI,SSMI,KS11,TWII,SS,SZ,N100,NSEI,JO
2012-08-31,8014.930176,8839.910156,3066.959961,11949.29981,19482.57031,6970.790039,6388.009766,1905.119995,7397.060059,2047.521973,8210.990234,650.609985,5258.5,35389.44922
2012-09-04,8002.310059,8775.509766,3075.060059,11941.7002,19429.91016,6932.580078,6362.819824,1907.130005,7451.350098,2043.649048,8243.830078,650.23999,5274.0,35161.01172
2012-09-05,7992.009766,8679.820313,3069.27002,11990.09961,19145.07031,6964.689941,6425.200195,1874.030029,7367.439941,2037.68103,8242.589844,651.080017,5225.700195,35045.55078
2012-09-06,8160.560059,8680.570313,3135.810059,12139.7002,19209.30078,7167.330078,6527.870117,1881.23999,7326.720215,2051.917969,8288.269531,668.289978,5238.399902,35674.73047
2012-09-07,8234.509766,8871.650391,3136.419922,12268.0,19802.16016,7214.5,6537.319824,1929.579956,7424.910156,2127.761963,8709.070313,669.030029,5342.100098,35744.25
2012-09-10,8192.389648,8869.370117,3104.02002,12215.40039,19827.16992,7213.700195,6507.870117,1924.699951,7482.740234,2134.893066,8769.540039,665.390015,5363.450195,35524.89844
2012-09-11,8246.139648,8807.379883,3104.530029,12220.5,19857.88086,7310.109863,6503.299805,1920.0,7485.129883,2120.553955,8739.469727,668.52002,5390.0,35446.66016
2012-09-12,8267.30957,8959.959961,3114.310059,12232.59961,20075.39063,7343.529785,6489.799805,1950.030029,7570.450195,2126.553955,8786.730469,668.780029,5431.0,35736.41016
2012-09-13,8407.030273,8995.150391,3155.830078,12360.2002,20047.63086,7310.319824,6513.220215,1950.689941,7578.799805,2110.378906,8691.0,663.400024,5435.350098,35885.23047
2012-09-14,8458.870117,9159.389648,3183.949951,12499.5,20629.7793,7412.129883,6559.160156,2007.579956,7738.049805,2123.846924,8740.049805,674.109985,5577.649902,36550.07813
2012-09-18,8387.429688,9123.769531,3177.800049,12422.7002,20601.92969,7347.689941,6537.100098,2004.959961,7734.259766,2059.542969,8390.150391,665.440002,5600.049805,36445.75
2012-09-20,8372.910156,9086.980469,3175.959961,12409.29981,20590.91992,7389.490234,6556.490234,1990.329956,7727.549805,2024.837036,8202.200195,665.869995,5554.25,36359.98047
2012-09-21,8377.509766,9110.0,3179.959961,12383.59961,20734.93945,7451.620117,6605.819824,2002.369995,7754.589844,2026.689941,8201.530273,668.820007,5691.149902,36206.32813
2012-09-24,8356.55957,9069.290039,3160.780029,12313.5,20694.69922,7413.160156,6597.220215,2003.439941,7768.299805,2033.192017,8310.94043,663.849976,5669.600098,36206.32813
